schemeCode,schemeName,isinGrowth,isinDivReinvestment
101538,Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01181,INF903J01199
101539,Sundaram Mid Cap Fund Regular Plan - Growth,INF903J01173,
101551,SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01115,INF200K01123
101585,HDFC Equity Savings Fund - GROWTH PLAN,INF179K01AM7,
101586,HDFC Equity Savings Fund - IDCW PLAN,INF179K01AK1,INF179K01AL9
101593,HSBC Large Cap Fund - Regular IDCW,INF336L01024,INF336L01032
101594,HSBC Large Cap Fund - Regular Growth,INF336L01016,
101609,TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,INF277K01EE8,INF277K01899
101628,DWS Alpha Equity Fund - Dividend,,
101629,DWS Alpha Equity Fund - Growth,,
101635,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,
101636,DSP Large Cap Fund - Regular Plan - IDCW,INF740K01227,INF740K01235
101762,HDFC Flexi Cap Fund - Growth Plan,INF179K01608,
101763,HDFC Flexi Cap Fund - IDCW Plan,INF179K01582,INF179K01590
101823,Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option,INF277K01DH3,INF277K01410
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,INF277K01428,
101834,UTI - Master Equity Plan Unit Scheme,,
101906,Tata Equity Savings Fund -Regular Plan-Growth Option,INF277K01907,
101912,BARODA  HYBRID EQUITY FUND - Plan A - Growth Option,,
101913,BARODA HYBRID EQUITY FUND - Plan A - IDCW Option,,
101924,Canara Robeco Equity Diversified-Bonus Option,,
101979,HDFC ELSS Tax saver - Growth Plan,INF179K01BB8,
101980,HDFC ELSS Tax saver - IDCW Plan,INF179K01AZ9,INF179K01BA0
102000,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,
102001,HDFC Large Cap Fund - IDCW Option - Regular Plan,INF179K01BC6,INF179K01BD4
102036,Tata Large Cap Fund- Regular Plan - Payout of IDCW Option,INF277K01EG3,INF277K01923
102118,Tata Equity Savings Fund- Regular Plan - Periodic Payout of IDCW Option,INF277K01EF5,INF277K01915
102193,DWS Equity Income Fund - Monthly Dividend option,,
102194,DWS Equity Income Fund - Quarterly  Dividend,,
102195,DWS Equity Income Fund - Annual Dividend option,,
102196,DWS Equity Income Fund - Growth Option,,
102242,ING Large Cap Equity Fund-Growth Option,,
102243,ING Large Cap Equity Fund-Dividend Option,,
102245,ING Large Cap Equity Fund-Bonus Option,,
102251,HSBC Flexi Cap Fund - Regular IDCW,INF336L01AE8,INF336L01AD0
102252,HSBC Flexi Cap Fund - Regular Growth,INF336L01AF5,
102266,UTI Children's Equity Fund - Regular Plan - IDCW,INF789F1AZX6,
102267,UTI Children's Equity Fund - Regular Plan - Growth Option,INF789F1AZT4,
102326,Tata Mid Cap Fund-Regular Plan - IDCW Option,INF277K01DS0,INF277K01642
102328,Tata Mid Cap Fund Regular Plan- Growth Option,INF277K01626,
102329,Tata Mid Cap Growth Fund Regular Plan  - Bonus (Growth),,
102393,UTI Mid Cap Fund - Regular Plan - IDCW,INF789F01794,INF789F01802
102394,UTI Mid Cap Fund-Growth Option,INF789F01810,
102426,Principal Resurgent India Equity Fund-Growth,,
102427,Principal Resurgent India Equity Fund-Dividend,,
102478,JM Mid Cap Fund-Dividend,,
102479,JM Mid Cap Fund-Growth,,
102480,JM Large Cap Fund-Dividend,,
102481,JM Large Cap Fund-Growth,,
102496,UTI - INDIA ADVANTAGE EQUITY FUND-DIVIDEND,,
102497,UTI - INDIA ADVANTAGE EQUITY FUND-GROWTH,,
102517,UTI - DYNAMIC EQUITY FUND-GROWTH,,
102518,UTI - DYNAMIC EQUITY FUND-DIVIDEND,,
102577,DBS Chola Mid Cap Fund-Dividend,,
102578,DBS Chola Mid Cap Fund-Cumulative,,
102639,ABN AMRO  Equity Fund-Growth Plan,,
102640,ABN AMRO  Equity Fund-Dividend Plan,,
102874,Kotak-Small Cap Fund - Payout of Income Distribution cum capital withdrawal option,INF174K01237,INF174K01229
102875,Kotak-Small Cap Fund - Growth,INF174K01211,
102883,Franklin India Large & Mid Cap Fund - Growth Plan,INF090I01205,
102884,Franklin India Large & Mid Cap Fund - IDCW,INF090I01189,INF090I01197
102885,SBI EQUITY HYBRID FUND - REGULAR PLAN -Growth,INF200K01107,
102902,JM Equity & Derivative Fund-Growth-growth option,,
102903,JM Equity & Derivative Fund-Dividend-dividend option,,
102904,JM Equity & Derivative Fund-Bonus-Bonus option,,
102920,CANARA ROBECO LARGE AND MID CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01167,
102921,CANARA ROBECO LARGE AND MID CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01175,INF760K01183
102947,HDFC Hybrid Equity Fund - IDCW Plan,INF179K01AQ8,INF179K01AR6
102948,HDFC Hybrid Equity Fund - Growth Plan,INF179K01AS4,
102961,Fidelity Equity Fund-Growth Option,,
102962,Fidelity Equity Fund-Dividend Option,,
103006,HSBC Small Cap Equity Fund - Growth,,
103007,HSBC Small Cap Equity Fund - IDCW,,
103053,Standard Chartered Classic Equity Fund-Plan-Growth,,
103054,Standard Chartered Classic Equity Fund-Plan-Dividend,,
103071,Tata Mid Cap Fund Plan A- Growth,,
103072,Tata Mid Cap Fund Plan A- Dividend,,
103152,Standard Chartered Premier Equity Fund-Plan-Growth,,
103153,Standard Chartered Premier Equity Fund-Plan-Dividend,,
103154,Aditya Birla Sun Life Equity Hybrid'95 Fund -Regular - IDCW,INF209K01BS7,INF209K01EE1
103155,Aditya Birla Sun Life Equity Hybrid'95 Fund - Regular Plan-Growth,INF209K01BT5,
103164,Aditya Birla Sun Life ELSS Tax Saver Fund-Regular - IDCW,INF209K01090,INF209K01CB1
103165,Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW,INF209K01AQ3,INF209K01DT1
103166,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,INF209K01AJ8,
103173,Aditya Birla Sun Life Large Cap Fund-Regular - IDCW,INF209K01BO6,INF209K01EC5
103174,Aditya Birla Sun Life Large Cap Fund-Growth,INF209K01BR9,
103196,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,INF204K01GK4,
103197,NIPPON INDIA ELSS TAX SAVER FUND - IDCW Option,INF204K01GL2,INF204K01GM0
103223,Kotak Cash Plus---Dividend (Upto 17/06/07) renamed as Kotak Equity Arbitrage Fund,,
103224,Kotak Cash Plus---Growth (Upto 17/06/07) renamed as Kotak Equity Arbitrage Fund,,
103338,Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option,INF174K01385,
103339,Kotak ELSS Tax Saver Fund-Growth,INF174K01369,
103360,Franklin India Small Cap Fund-Growth,INF090I01569,
103361,Franklin India Small Cap Fund - IDCW,INF090I01544,INF090I01551
103367,"ING L.I.O.N. (Large cap, Intermediate cap, Opportunities, New offerings)Fund-Growth Option",,
103368,"ING L.I.O.N. (Large cap, Intermediate cap, Opportunities, New offerings)Fund-Dividend Option",,
103369,"ING L.I.O.N. (Large cap, Intermediate cap, Opportunities, New offerings) Fund-Bonus Option",,
103406,HSBC Infrastructure Equity Fund - IDCW,,
103407,HSBC Infrastructure Equity Fund - Growth,,
103445,ABN AMRO Tax  Advantage Plan (ELSS)-Growth Option,,
103446,ABN AMRO Tax  Advantage Plan (ELSS)-Dividend Option,,
103455,UTI Bluechip Flexicap Fund - Regular Plan - Dividend Option,,
103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option,,
103487,Standard Chartered Imperial Equity Fund-Plan-Growth,,
103488,Standard Chartered Imperial Equity Fund-Plan-Dividend,,
103504,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,
103616,SBI Large Cap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01164,INF200K01172
103739,ING Income Growth Multi-Manager FoF Scheme-15% Equity Plan Option A-Dividend,,
103740,ING Income Growth Multi-Manager FoF Scheme Option A -15% Equity Plan-Growth,,
103741,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option A -Dividend,,
103742,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option A -Growth,,
103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option,,
103748,Reliance Focused Large Cap Fund-Growth Plan-Bonus Option,,
103749,Reliance Focused Large Cap Fund-Dividend Plan,,
103753,Standard Chartered Enterprise Equity Fund-A-Growth,,
103754,Standard Chartered Enterprise Equity Fund-A-Dividend,,
103760,Tata Equity Management Fund Plan A- Div,,
103761,Tata Equity Management Fund Plan A - Growth,,
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,INF740K01094,
103820,DSP Large & Mid Cap Fund - Regular Plan - IDCW,INF740K01078,INF740K01086
103883,SBI ELSS Tax Saver Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01479,
104479,DSP BlackRock Small and Mid Cap Fund - Institutional Plan - Growth,,
104480,DSP BlackRock Small and Mid Cap Fund - Institutional Plan - Dividend,,
104513,quant Large & Mid Cap Fund - Growth Option,INF966L01341,
104514,quant Large & Mid Cap Fund - IDCW Option - Regular Plan,INF966L01325,INF966L01333
104515,quant Large & Mid Cap Fund - Bonus Option - Regular Plan,INF966L01424,
104560,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option B -Growth,,
104561,ING Income Growth Multi-Manager FoF Scheme -15% Equity Plan Option B -Growth,,
104562,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option B -Dividend,,
104563,ING Income Growth Multi-Manager FoF Scheme-15% Equity Plan Option B-Dividend,,
104625,ING OptiMix Equity Multi-Manager FoF Scheme-Growth,,
104626,ING OptiMix Equity Multi-Manager FoF Scheme-Dividend,,
104635,Invesco India ELSS Tax Saver Fund - Regular Plan - IDCW Payout,INF205K01296,INF205K01288
104636,Invesco India ELSS Tax Saver Fund - Regular Plan - Growth,INF205K01270,
104639,JM Equity Tax Saver Fund - Series I - Dividend Plan,,
104640,JM Equity Tax Saver Fund - Series I - Growth Plan,,
104682,ICICI Prudential Equity - Arbitrage Fund-Institutional Dividend Option,,
104684,ICICI Prudential Equity - Arbitrage Fund-Institutional Growth Option,,
104706,HSBC Tax Saver Equity Fund - IDCW,INF336L01AZ3,
104707,HSBC Tax Saver Equity Fund - Growth,INF336L01BA4,
104772,DSP ELSS Tax Saver Fund - Regular Plan - Growth,INF740K01185,
104773,DSP ELSS Tax Saver Fund - Regular Plan - IDCW,INF740K01169,INF740K01177
104998,Sundaram Select Small Cap Dividend,,
104999,Sundaram Select Small Cap- Growth,,
105096,ICICI Prudential Equity Opportunities Fund - Retail Growth Plan,,
105098,ICICI Prudential Equity Opportunities Fund - Retail Dividend Plan,,
105099,ICICI Prudential Equity Opportunities Fund - Institutional Growth Plan,,
105156,Standard Chartered Tax Saver (ELSS) Fund A GROWTH,,
105157,Standard Chartered Tax Saver (ELSS) Fund A DIVIDEND,,
105227,HSBC Dividend Yield Equity Fund - Dividend,,
105228,HSBC Dividend Yield Equity Fund - Growth,,
105316,Principal Pnb Long Term Equity Fund - Dividend Option,,
105317,Principal Pnb Long Term Equity Fund - Growth Option,,
105576,DBS Chola Hedged Equity Fund - Dividend,,
105577,DBS Chola Hedged Equity Fund - Cumulative,,
105582,JPMorgan India Equity Fund - Regular Plan - Growth Option,,
105583,JPMorgan India Equity Fund - Regular Plan - Dividend Option,,
105598,PineBridge India Equity Fund- Standard Plan- Growth Option,,
105599,PineBridge India Equity Fund- Institutional Plan- Growth Option,,
105600,PineBridge India Equity Fund- Standard Plan- Dividend Option,,
105601,PineBridge India Equity Fund- Institutional Plan- Dividend Option,,
105619,ING Multi Manager Equity Fund - Option A- Dividend(Payout and Reinvestment),,
105620,ING Multi Manager Equity Fund - Option A- Growth,,
105628,SBI ELSS Tax Saver FUND - REGULAR PLAN- GROWTH,INF200K01495,
105757,HDFC Mid Cap Fund - IDCW Plan,INF179K01CS0,INF179K01CT8
105758,HDFC Mid Cap Fund - Growth Plan,INF179K01CR2,
105804,Aditya Birla Sun Life Small Cap Fund - GROWTH,INF209K01EN2,
105805,Aditya Birla Sun Life Small Cap Fund -Regular - IDCW,INF209K01EO0,INF209K01EP7
105816,Franklin India Focused Equity Fund - IDCW ,INF090I01965,INF090I01973
105817,Franklin India Focused Equity Fund - Growth Plan,INF090I01981,
105868,DSP BlackRock Equity Fund - Institutional Plan - Dividend,,
105871,DSP BlackRock Top 100 Equity Fund - Institutional  Plan - Dividend,,
105872,DSP BlackRock Top 100 Equity Fund - Institutional  Plan - Growth,,
105875,DSP Flexi Cap Fund - Regular Plan - Growth,INF740K01037,
105876,DSP BlackRock Equity Fund - Institutional Plan - Growth,,
105989,DSP Small Cap Fund - Regular - Growth,INF740K01797,
106143,Invesco India Large & Mid Cap Fund - Regular Plan - IDCW (Payout / Reinvestment),INF205K01262,INF205K01254
106144,Invesco India Large & Mid Cap Fund - Regular Plan - Growth,INF205K01247,
106166,CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01050,
106167,CANARA ROBECO EQUITY HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01068,INF760K01076
106235,Nippon India Large Cap  Fund- Growth Plan -Growth Option,INF204K01562,
106236,NIPPON INDIA LARGE CAP FUND - IDCW Option,INF204K01539,INF204K01547
106238,Nippon India Large Cap Fund-Institutional Plan Growth Plan Bonus Option,,
106240,Nippon India Large Cap Fund- Growth Plan Bonus Option,INF204K01554,
106249,Reliance Focused Large Cap  Fund Institutional Plan Growth Plan Growth Option,,
106250,Reliance Focused Large Cap Fund Institutional Plan Growth Plan Bonus Option,,
106251,Reliance Focused Large Cap  Fund Institutional Plan Dividend Option,,
106254,Reliance Equity Opportunities  Fund Institutional Plan Growth Plan Bonus Option,,
106260,NIPPON INDIA GROWTH MID CAP FUND - INSTITUTIONAL Plan - IDCW Option,INF204K01257,INF204K01265
106369,Sundaram Global Brand Theme-Equity Active FOF - Regular IDCW,INF903J01EY9,INF903J01EZ6
106370,Sundaram Global Brand Theme-Equity Active FOF - Regular Growth,INF903J01EX1,
106387,ING OptiMix Multi Manager Equity Fund-Option B-Growth,,
106388,ING OptiMix Multi Manager Equity Fund-Option B-Dividend(Payout and Reinvestment),,
106441,Kotak Global Emerging Market Overseas Equity Omni FOF- Growth,INF174K01DV3,
106442,Kotak Global Emerging Market Overseas Equity Omni FOF - Payout of Income Distribution cum capital withdrawal option,INF174K01DX9,INF174K01DW1
106596,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - IDCW,INF740K01268,INF740K01276
106597,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - Growth,INF740K01250,
106722,Principal Pnb Long Term Equity Fund 3 Year Plan Series II - Growth Option,,
106723,Principal Pnb Long Term Equity Fund 3 Year Plan Series II - Dividend Option,,
106836,Benchmark Equity & Derivatives Opportunities Fund - Growth,,
106837,Benchmark Equity & Derivatives Opportunities Fund - Dividend Plan,,
106871,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,
106872,Aditya Birla Sun Life International Equity Fund - Regular - IDCW,INF209K01512,INF209K01CV9
106873,Aditya Birla Sun Life International Equity Fund - Growth - Regular Plan,INF209K01520,
106875,Aditya Birla Sun Life International Equity Fund - Plan B - Regular - IDCW,,
106876,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Regular Plan,,
106978,Franklin Asian Equity Fund - IDCW ,INF090I01999,INF090I01AA5
106979,Franklin Asian Equity Fund - Growth Plan,INF090I01AB3,
107048,ING OptiMix Equity Multi Manager FoF Scheme-Series II Dividend Option,,
107049,ING OptiMix Equity Multi Manager FoF Scheme-Series II Growth Option,,
107287,JM ELSS Tax Saver Fund (Regular) - IDCW,INF192K01643,
107288,JM ELSS Tax Saver Fund (Regular) - Growth option,INF192K01650,
107301,JPMorgan India Mid and Small Cap Fund - Regular Plan - Growth Option,,
107302,JPMorgan India Mid and Small Cap Fund - Regular Plan - Dividend Option,,
107403,DBS Chola Small Cap Fund -Dividend Option,,
107404,DBS Chola Small Cap Fund-Cumulative Option,,
107578,Mirae Asset Large Cap Fund - Growth Plan,INF769K01010,
107579,Mirae Asset Large Cap Fund Regular IDCW,INF769K01036,INF769K01028
107589,Mirae Asset India Equity Fund -Institutional Option - Dividend Plan,,
107745,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,INF209K01108,
107900,Reliance Equity Linked Saving Fund - Series I - Dividend Plan,,
107901,Reliance Equity Linked Saving Fund - Series I - Growth Plan,,
108096,HSBC Small Cap Fund - Dividend,,
108097,HSBC Small Cap Fund - Growth,,
108402,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01997,
108403,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01740,INF044D01757
108465,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - IDCW,INF109K01EP9,INF109K01BM2
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,INF109K01BL4,
108467,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth,,
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,INF194K01391,
108595,BANDHAN Flexi Cap Fund - Regular Plan - IDCW,INF194K01409,INF194K01417
108596,Bandhan Large & Mid Cap Fund - Regular Plan - Growth,INF194K01524,
108597,Bandhan Large & Mid Cap Fund - Regular Plan - IDCW,INF194K01532,INF194K01540
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,
108800,BANDHAN Large Cap Fund - Regular Plan - IDCW,INF194K01490,INF194K01508
108864,IDFC Tax Saver (ELSS) Fund A DIVIDEND,,
108865,IDFC Tax Saver (ELSS) Fund A GROWTH,,
108992,BANDHAN Equity Savings Fund - Regular Plan - Monthly IDCW,INF194K01599,INF194K01607
108993,IDFC Equity Savings Fund -B-DIVIDEND,,
108994,IDFC Equity Savings Fund -B-GROWTH,,
108995,BANDHAN Equity Savings Fund - Regular Plan - Growth,INF194K01581,
109526,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A INSTITUTIONAL Growth,,
109527,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A RETAIL Growth,,
109528,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A INSTITUTIONAL Dividend,,
109529,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A RETAIL Dividend,,
109534,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B INSTITUTIONAL Dividend,,
109535,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B INSTITUTIONAL Growth,,
109536,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B RETAIL Dividend,,
109537,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B RETAIL Growth,,
109695,ING Latin America Equity Fund - Dividend Option,,
109696,ING Latin America Equity Fund - Growth Option,,
109697,ING Latin America Equity Fund - Bonus Option,,
109830,quant Flexi Cap Fund - Growth Option - Regular Plan,INF966L01457,
109831,quant Flexi Cap Fund - IDCW Option - Regular Plan,INF966L01432,INF966L01440
110037,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES C RETAIL DIVIDEND,,
110038,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES C RETAIL GROWTH,,
110039,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES C INSTITUTIONAL DIVIDEND,,
110040,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES C INSTITUTIONAL GROWTH,,
110041,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES D RETAIL DIVIDEND,,
110042,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES D RETAIL GROWTH,,
110043,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES D INSTITUTIONAL DIVIDEND,,
110044,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES D INSTITUTIONAL GROWTH,,
110598,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Quarterly IDCW,INF761K01116,INF761K01124
110599,BANK OF INDIA Large & Mid Cap Fund Eco Plan- Growth,INF761K01041,
110601,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Bonus,INF761K01017,
110603,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth,INF761K01108,
110604,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Quarterly IDCW,INF761K01058,INF761K01066
110606,BANK OF INDIA Large & Mid Cap Fund Regular Plan-Bonus,INF761K01074,
110607,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Regular IDCW,INF761K01082,INF761K01090
110608,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Regular IDCW,INF761K01025,INF761K01033
110751,Fortis Tax  Advantage Plan (ELSS)-Growth Option,,
110752,Fortis Tax  Advantage Plan (ELSS)-Dividend Option,,
110825,Fortis  Equity Fund-Growth Plan,,
110826,Fortis  Equity Fund-Dividend Plan,,
111381,Principal Emerging Bluechip Fund - Growth Option,,
111382,Principal Emerging Bluechip Fund - Half Yearly Income Distribution CUM Capital Withdrawal Option,,
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,INF082J01069,
111550,Quantum ELSS Tax Saver Fund - Direct Plan IDCW,INF082J01077,INF082J01085
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,INF194K01292,
111570,BANDHAN ELSS Tax Saver Fund - Regular Plan - IDCW,INF194K01300,INF194K01318
111638,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,INF754K01517,
111639,Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option,INF754K01525,INF754K01541
111640,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01955,INF044D01963
111642,Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01781,INF044D01799
111708,BANK OF INDIA ELSS Tax Saver -Regular Plan-IDCW,INF761K01165,INF761K01173
111709,BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth,INF761K01157,
111710,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,INF761K01181,
111711,BANK OF INDIA ELSS Tax Saver -ECO Plan-IDCW,INF761K01132,INF761K01140
111722,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,INF760K01100,
111861,IDFC Premier Equity Fund-Plan B - Dividend,,
111862,IDFC Premier Equity Fund_Plan B - Growth,,
111863,IDFC Core Equity Fund-Plan B- Growth,,
111864,IDFC Core Equity Fund-Plan B- Dividend,,
